FIELD1,FIELD2,FIELD3
PRP,3098,C
PRP,3099,C
PRP,3100,C
QSRM,4569,D
QSRM,4570,E
QSRM,4571,A
RFSM,4703,C
RMS,4825,H
RMS,4826,I
SEPP,3314,B
SEPP,3315,B
STDM,5093,A
STDM,5094,A
STDM,5095,B
STDM,5096,B
TTDM,5453,B
TTDM,5454,B
TTDM,5455,I
TTDM,5456,I
BLTDM,1751,B
BLTDM,1752,B
MTDM,3823,E
MTDM,3824,E
LDA,1178,
PBM,3999,D
BLTDM,1713,J
BLTDM,1714,J
BMOR,1282,D
BMOR,1283,D
BSM,1931,B
FMS,2415,E
FMS,2416,D
FOR,2588,D
HLM,2887,A
HLM,2888,C
LDA,1128,
PMK,4496,G
RFSM,4775,H
RFSM,4776,I
SEOR,3271,A
SEOR,3272,A
SEOR,3273,A
SEOR,3274,F
BFS,1499,G
EIP,2114,E
EIP,2115,E
PMK,4535,C
SEM,5053,F
STDM,5371,D
STDM,5372,D
TTDM,5735,I
TTDM,5736,I
BLTDM,1663,E
BLTDM,1664,E
BSM,1913,E
PMK,4480,C
SEM,4992,K
STDM,5205,E
STDM,5206,E
TTDM,5573,B
TTDM,5574,B
AAM,1091,G
ADC,1129,G
BFS,1483,C
BSM,1951,J
BTDM,2242,F
BTDM,2243,F
CSP,1599,A
CSP,1600,A
EIB,1845,A
EIB,1846,G
EPP,2183,A
EPP,2184,A
FMP,2501,C
FMP,2502,G
FMS,2432,J
FOR,2612,C
HLM,2912,E
HTDM,3336,C
HTDM,3337,C
HTPS,2891,A
HTPS,2892,B
IBP,3030,D
IBP,3031,D
LDA,1159,
PBM,3991,G
PFL,4119,G
PFN,4253,K
PMK,4519,H
PSE,3178,B
QSRM,4658,D
RFSM,4792,A
SEM,5035,J
SEPP,3389,B
STDM,5341,G
STDM,5342,G
TTDM,5695,I
TTDM,5696,I
BMOR,1203,F
BMOR,1204,F
BMOR,1205,F
EIB,1749,E
EIP,1912,A
EIP,1913,A
EIP,1914,A
FCE,2278,A
FMP,2409,G
FMP,2410,G
GRIT,2641,A
HRM,2971,F
LDA,1037,
PBM,3907,K
PHT,4311,J
RFSM,4713,B
AAM,1021,I
AAM,1022,J
ACT,1150,C
ASM,1280,A
FMS,2361,E
HTDM,3134,F
HTDM,3135,F
LDA,1043,
LDA,1044,
MTDM,3601,H
MTDM,3602,H
MTDM,3603,E
MTDM,3604,E
PBM,3910,A
PMK,4448,A
RMS,4836,H
RMS,4837,I
BTDM,2250,B
BTDM,2251,B
FTDM,2724,D
FTDM,2725,D
LDA,1162,
LDA,1163,
AAM,1008,C
AAM,1009,D
AAM,1010,B
ACT,1134,D
ADC,1016,C
ADC,1017,C
ASM,1266,K
ASM,1267,B
BFS,1393,K
BFS,1394,I
BSM,1865,B
BTDM,2012,I
BTDM,2013,I
FMS,2345,B
FMS,2346,K
FTDM,2488,B
FTDM,2489,B
HLM,2816,D
HRM,2958,E
HRM,2959,D
HTDM,3102,B
HTDM,3103,B
LDA,1011,
MCS,3433,C
MTDM,3569,D
MTDM,3570,D
PBM,3896,B
PBM,3897,K
PFL,4038,A
PFN,4165,G
PHT,4302,A
PMK,4436,C
PSE,3156,A
PSE,3157,B
QSRM,4572,F
QSRM,4573,G
RFSM,4704,D
RFSM,4705,A
RMS,4827,J
SEM,4948,B
SEM,4949,E
STDM,5097,I
STDM,5098,I
STDM,5099,J
STDM,5100,J
TTDM,5457,J
TTDM,5458,J
TTDM,5459,G
TTDM,5460,G
AAM,1121,D
ASM,1371,F
BFS,1509,F
BSM,1982,H
FMS,2457,C
HRM,3072,H
HTDM,3388,G
HTDM,3389,G
LDA,1202,
MCS,3541,K
PFL,4146,B
PHT,4412,A
RFSM,4811,K
RMS,4928,B
ACT,1219,E
ACT,1220,F
ADC,1114,G
ADC,1115,G
ADC,1116,G
BMOR,1290,F
BMOR,1291,F
BMOR,1292,A
BMOR,1293,A
BOR,1405,C
BOR,1406,C
BOR,1407,C
BSM,1940,K
BSM,1941,J
EFB,1701,C
EFB,1702,C
EFB,1703,B
EFB,1704,B
EIB,1833,D
EIB,1834,D
EIB,1835,D
EIP,2049,F
EIP,2050,F
EIP,2051,F
EIP,2052,G
EIP,2053,G
FCE,2297,A
FLPP,2352,C
FLPP,2353,C
FMP,2490,F
FMP,2491,F
FOR,2592,B
FOR,2593,B
FOR,2594,C
FTDM,2686,A
FTDM,2687,A
HLM,2900,D
HRM,3045,A
HTDM,3304,I
HTDM,3305,I
HTOR,2814,B
IBP,3015,D
IBP,3016,D
IBP,3017,D
IBP,3018,A
IBP,3019,A
LDA,1141,
MCS,3507,J
MTDM,3777,J
MTDM,3778,J
PBM,3981,H
PFL,4108,G
PHT,4383,G
RFSM,4781,A
RFSM,4782,D
RMS,4890,G
TTDM,5663,E
TTDM,5664,E
ACT,1210,E
BLTDM,1717,C
BLTDM,1718,C
BTDM,2190,B
BTDM,2191,B
HLM,2890,E
HTDM,3282,B
HTDM,3283,B
HTDM,3284,I
HTDM,3285,I
MTDM,3757,J
MTDM,3758,J
PMK,4498,I
QSRM,4642,J
TTDM,5645,F
TTDM,5646,F
ASM,1378,C
BFS,1513,J
BLTDM,1829,H
BLTDM,1830,H
FMS,2461,F
HLM,2937,H
HRM,3075,K
HTDM,3398,D
HTDM,3399,D
PFL,4149,D
SEM,5066,H
TTDM,5767,C
TTDM,5768,C
AAM,1005,I
ACT,1132,F
ADC,1006,F
ADC,1007,F
ADC,1008,F
BLTDM,1533,B
BLTDM,1534,B
BLTDM,1535,C
BLTDM,1536,C
BSM,1863,J
BTDM,2002,I
BTDM,2003,I
BTDM,2004,J
BTDM,2005,J
CMP,1441,C
CMP,1442,C
EFB,1638,B
EIB,1731,G
EIB,1732,G
EIP,1881,E
EIP,1882,E
EIP,1883,E
EIP,1884,B
EIP,1885,B
FCE,2274,A
FMP,2375,G
FTDM,2482,C
FTDM,2483,C
HTDM,3090,H
HTDM,3091,H
IBP,2907,F
LDA,1002,
LDA,1003,
LEP,3049,B
LEP,3050,B
LEP,3051,A
LEP,3052,A
MCS,3429,I
MTDM,3563,E
MTDM,3564,E
PFL,4033,I
PHT,4296,H
PMK,4432,I
PSE,3154,A
PSE,3155,B
RMS,4823,F
SEM,4945,F
SEOR,3193,A
SEOR,3194,A
SEPP,3313,C
STDM,5085,E
STDM,5086,E
STDM,5087,F
STDM,5088,F
TTDM,5447,C
TTDM,5448,C
ADC,1055,B
ADC,1056,B
ADC,1057,B
ADC,1058,F
ADC,1059,F
BFS,1433,G
BFS,1434,H
BLTDM,1649,H
BLTDM,1650,H
BSM,1910,C
BTDM,2110,B
